minp_maxp_rt_mz,score
72_751,0.12863596890399576
87_598,0.1177856595631086
33_452,0.11137734472526839
20_476,0.10848943054174143
152_724,0.10525796657346742
94_678,0.10500735263416194
90_626,0.10462421060562521
162_671,0.09829953946955827
121_928,0.09508206717612389
69_751,0.09476422125043005
32_452,0.09441236956906707
117_554,0.09321985266853883
81_843,0.08961690509392195
106_626,0.0894859166957418
156_776,0.08851569585868546
92_598,0.08842489491375671
73_751,0.08819985109932693
171_664,0.08625688170615531
244_594,0.08529325120335995
152_706,0.08361427069916694
116_678,0.08049542275542398
69_558,0.07879963449990379
124_678,0.07878657259200939
121_559,0.07732040043800392
77_770,0.07643925527032014
115_560,0.07621649362571103
81_662,0.07579248581550324
259_650,0.07439931155563873
116_554,0.07353048750647284
202_650,0.07287365479488761
28_476,0.07199640545084929
294_759,0.07187452271816541
146_684,0.07139308194597627
125_772,0.07120508533890968
129_651,0.07111160132174899
334_651,0.07083861393704005
116_559,0.0682884009948288
93_627,0.06761546766981263
68_851,0.06737627052117379
90_627,0.0667129136295741
333_870,0.06660971861903597
77_572,0.06614786717010679
94_695,0.06575285098749628
160_724,0.0647923730201252
121_575,0.06415887879942161
151_650,0.06375075202327274
135_650,0.062354621145736644
326_650,0.06130915720068186
99_649,0.06044038763722126
108_533,0.06043132792212891
107_736,0.060373349863251935
89_626,0.05985956183562324
93_578,0.05971753346798847
77_833,0.05916661363994802
118_559,0.05861905612539342
233_650,0.05843114459070797
24_452,0.058178634526487194
47_601,0.05766351313827167
9_449,0.057240552204979256
22_452,0.05699602202586007
13_449,0.05670226190124206
148_724,0.055301367551849445
134_650,0.05519426158126306
116_547,0.0551653780389425
119_559,0.05433017123838235
209_724,0.053134736680795935
107_626,0.05262437808954834
139_853,0.052618944817725666
214_771,0.05232984628686621
74_770,0.05174690682541172
89_690,0.05037139168010407
188_724,0.05034494359553188
174_654,0.04947910173472314
112_650,0.04939275259365816
84_627,0.048218080053763934
248_594,0.04741491403768716
218_724,0.04740633181833598
176_654,0.04729912690890492
92_626,0.04723077751000382
77_670,0.04717343901781623
205_738,0.04654317528020835
76_670,0.04648813116093109
25_452,0.04620227102343799
165_567,0.04556984149492216
137_650,0.045433310205190924
103_720,0.04483873714060982
120_627,0.04469557655278811
126_650,0.044373340333888844
116_627,0.04432338734099961
158_671,0.04402299017086264
335_651,0.04380724837619043
146_650,0.04359231135690678
238_650,0.042956862858560374
139_559,0.04248508710307908
331_650,0.04174724807277386
173_664,0.041489863222053724
86_598,0.04090748658948584
37_452,0.03947930221942464
120_667,0.03924926475325874
13_467,0.03889365091972108
81_572,0.03865866320839961
138_650,0.03811140455664086
211_650,0.038057275269330226
98_678,0.03771529415903929
