FullRunName,Age_Days,Strain,Diet,Sex,EarTag,RunDate,RunTime,digestion_batch,MS_batch,DateTime,order
I171121_Run392_BXD65b_CD_ET1709,187,BXD65b,CD,F,ET1709,Nov_22,20:35:00,2,Batch_7,2023-11-23T01:35:00Z,356
I171121_Run393_BXD87_HF_ET547,359,BXD87,HF,F,ET547,Nov_22,23:07:00,2,Batch_7,2023-11-23T04:07:00Z,357
I171123_Run395_BXD32_CD_ET2495,386,BXD32,CD,F,ET2495,Nov_23,03:18:00,1,Batch_7,2023-11-23T08:18:00Z,358
I171123_Run396_BXD63_CD_ET1872,751,BXD63,CD,F,ET1872,Nov_23,04:55:00,1,Batch_7,2023-11-23T09:55:00Z,359
I171123_Run397_BXD95_CD_ET1270,366,BXD95,CD,F,ET1270,Nov_23,06:33:00,2,Batch_7,2023-11-23T11:33:00Z,360
I171123_Run398_BXD77_CD_ET30,757,BXD77,CD,F,ET30,Nov_23,09:06:00,2,Batch_7,2023-11-23T14:06:00Z,361
I171123_Run399_BXD63_HF_ET2090,752,BXD63,HF,F,ET2090,Nov_23,10:44:00,3,Batch_7,2023-11-23T15:44:00Z,362
I171123_Run400_BXD89_CD_ET2078,444,BXD89,CD,F,ET2078,Nov_23,12:22:00,3,Batch_7,2023-11-23T17:22:00Z,363
I171123_Run401_BXD70_HF_ET188,239,BXD70,HF,F,ET188,Nov_23,14:54:00,3,Batch_7,2023-11-23T19:54:00Z,364
I171123_Run402_BXD79_CD_ET825,217,BXD79,CD,F,ET825,Nov_23,16:32:00,4,Batch_7,2023-11-23T21:32:00Z,365
I171123_Run403_DBA2J_HF_ET1144,212,DBA2J,HF,F,ET1144,Nov_23,18:10:00,4,Batch_7,2023-11-23T23:10:00Z,366
I171123_Run404_MixOfPrevious9_CDHFD_MIX,NA,Mix,CDHFD,F,Mix,Nov_23,20:43:00,Mix,Batch_7,2023-11-24T01:43:00Z,367
I171123_Run405_MixOfPrevious9_CDHFD_MIX,NA,Mix,CDHFD,F,Mix,Nov_23,22:21:00,Mix,Batch_7,2023-11-24T03:21:00Z,368
I171123_Run406_MixOfPrevious9_CDHFD_MIX,NA,Mix,CDHFD,F,Mix,Nov_23,23:59:00,Mix,Batch_7,2023-11-24T04:59:00Z,369
I171123_Run407_BXD40_CD_ET680,578,BXD40,CD,F,ET680,Nov_24,02:31:00,1,Batch_7,2023-11-24T07:31:00Z,370
I171123_Run408_BXD40_CD_ET680fix,578,BXD40,CD,F,ET680,Nov_24,04:09:00,4,Batch_7,2023-11-24T09:09:00Z,371
I171123_Run411_BXD40_CD_ET1058,362,BXD40,CD,F,ET1058,Nov_24,08:20:00,2,Batch_7,2023-11-24T13:20:00Z,372
I171124_Run414_BXD73_HF_ET1506,694,BXD73,HF,F,ET1506,Nov_24,14:08:00,3,Batch_7,2023-11-24T19:08:00Z,373
I171124_Run415_BXD73_HF_ET1506,694,BXD73,HF,F,ET1506,Nov_24,21:13:00,3,Batch_7,2023-11-25T02:13:00Z,374
I171123_Run416_DBA2J_CD_ET1886,344,DBA2J,CD,F,ET1886,Nov_24,22:51:00,3,Batch_7,2023-11-25T03:51:00Z,375
